DeelGemeenteNaam,GemeenteAdres,GemeenteEmail,GemeenteFax,GemeenteKalender,GemeenteNaam,GemeentePostcode,GemeenteTel,GemeenteWebsite,ICAdres,ICEmail,ICFax,ICGemeenteNaam,ICKalender,ICPostcode,ICTel,ICWebsite,ICnaam
Wanlin,"rue Saint-Roch, 15",commune.de.houyet@skynet.be,082 66 60 11,,Houyet,5560,082 66 67 51,http://www.houyet.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Beauraing,"place de Seurre, 3-5-7",,082 71 00 67,,Beauraing,5570,082 71 00 10,http://www.beauraing.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Wiesme,"place de Seurre, 3-5-7",,082 71 00 67,,Beauraing,5570,082 71 00 10,http://www.beauraing.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Focant,"place de Seurre, 3-5-7",,082 71 00 67,,Beauraing,5570,082 71 00 10,http://www.beauraing.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Martouzin-Neuville,"place de Seurre, 3-5-7",,082 71 00 67,,Beauraing,5570,082 71 00 10,http://www.beauraing.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Pondrome,"place de Seurre, 3-5-7",,082 71 00 67,,Beauraing,5570,082 71 00 10,http://www.beauraing.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Gedinne,"rue Albert Marchal, 2",college.echevinal@gedinne.be,061 58 99 87,,Gedinne,5575,061 58 82 76,http://www.gedinne.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Froidfontaine,"place de Seurre, 3-5-7",,082 71 00 67,,Beauraing,5570,082 71 00 10,http://www.beauraing.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Rochefort,"place Albert Ier, 1",jonathan.noel@publilink.be,084 22 06 20,,Rochefort,5580,084 22 06 30,http://www.rochefort.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Ciney,"rue du Centre, 35",adm.communale.ciney@skynet.be,083 21 16 67,,Ciney,5590,083 23 10 10,http://www.ciney.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Philippeville,"place d'Armes, 12",,071 66 00 73,,Philippeville,5600,071 66 00 60,http://www.philippeville.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Florennes,"place de l'Hôtel de Ville, 1",,071 68 11 11,,Florennes,5620,071 68 11 10,http://www.communedeflorennes.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Hanzinne,"place de l'Hôtel de Ville, 1",,071 68 11 11,,Florennes,5620,071 68 11 10,http://www.communedeflorennes.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Cerfontaine,"place de l'Eglise, 5",,071 64 44 85,,Cerfontaine,5630,071 64 41 92,http://www.cerfontaine.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Mettet,"place Joseph Meunier, 1",info@mettet.be,071 72 72 40,,Mettet,5640,071 72 00 70,http://www.mettet.be/,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Furnaux,"place Joseph Meunier, 1",info@mettet.be,071 72 72 40,,Mettet,5640,071 72 00 70,http://www.mettet.be/,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Ermeton-sur-Biert,"place Joseph Meunier, 1",info@mettet.be,071 72 72 40,,Mettet,5640,071 72 00 70,http://www.mettet.be/,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Stave,"place Joseph Meunier, 1",info@mettet.be,071 72 72 40,,Mettet,5640,071 72 00 70,http://www.mettet.be/,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Walcourt,"place de l'Hôtel de Ville, 3",michel.deflandre@publilink.be,071 61 06 11,,Walcourt,5650,071 61 06 10,http://www.walcourt.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Tarcienne,"place de l'Hôtel de Ville, 3",michel.deflandre@publilink.be,071 61 06 11,,Walcourt,5650,071 61 06 10,http://www.walcourt.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Couvin,"avenue de la Libération, 2",ville@couvin.be,060 34 70 77,,Couvin,5660,060 34 01 19,http://,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Viroinval,"Château Communal, ",adm.com@viroinval.be,060 31 00 17,,Viroinval,5670,060 31 00 10,http://www.viroinval.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
Doische,"rue Martin Sandron, 114",administration.doische@skynet.be,082 67 84 32,,Doische,5680,082 67 73 21,http://www.doische.be,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
CHARLEROI,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
MARCINELLE,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
COUILLET,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
DAMPREMY,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
MARCHIENNE-AU-PONT,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
MONCEAU-SUR-SAMBRE,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
MONT-SUR-MARCHIENNE,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
JUMET,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
GOSSELIES,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
LODELINSART,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
RANSART,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
ROUX,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
Gilly,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
MONTIGNIES-SUR-SAMBRE,"Hôtel de Ville, place Charles II, ",info@charlerloi.be,071 86 11 57,,CHARLEROI,6000,071 86 00 00,http://www.charleroi.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
MONTIGNY-LE-TILLEUL,"rue de Marchienne, 5",ac.montigny-le-tilleul@brutele.be,071 56 07 48,,MONTIGNY-LE-TILLEUL,6110,071 51 88 10,http://,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
LANDELIES,"rue de Marchienne, 5",ac.montigny-le-tilleul@brutele.be,071 56 07 48,,MONTIGNY-LE-TILLEUL,6110,071 51 88 10,http://,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
HAM-SUR-HEURE/NALINNES,"chemin d'Oultre, 20",info@ham-sur-heure-nalinnes.be,071 21 91 06,,HAM-SUR-HEURE/NALINNES,6120,071 22 93 40,http://www.ham-sur-heure-nalinnes.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
FONTAINE-L'EVEQUE,"Château Bivort, ",grovillard@skynet.be,071 54 01 61,,FONTAINE-L'EVEQUE,6140,071 54 81 30,http://www.fontaine-leveque.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
FORCHIES-LA-MARCHE,"Château Bivort, ",grovillard@skynet.be,071 54 01 61,,FONTAINE-L'EVEQUE,6140,071 54 81 30,http://www.fontaine-leveque.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
LEERNES,"Château Bivort, ",grovillard@skynet.be,071 54 01 61,,FONTAINE-L'EVEQUE,6140,071 54 81 30,http://www.fontaine-leveque.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
ANDERLUES,"place Albert Ier, 21",,071 54 89 40,,ANDERLUES,6150,071 54 89 30,http://www.anderlues.be/,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
COURCELLES,"avenue Jean Jaurès, 2",admcourcelles@brutele.be,071 46 99 87,,COURCELLES,6180,071 46 99 88,http://www.courcelles.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
GOUY-LEZ-PIETON,"avenue Jean Jaurès, 2",admcourcelles@brutele.be,071 46 99 87,,COURCELLES,6180,071 46 99 88,http://www.courcelles.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
SOUVRET,"avenue Jean Jaurès, 2",admcourcelles@brutele.be,071 46 99 87,,COURCELLES,6180,071 46 99 88,http://www.courcelles.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
TRAZEGNIES,"avenue Jean Jaurès, 2",admcourcelles@brutele.be,071 46 99 87,,COURCELLES,6180,071 46 99 88,http://www.courcelles.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
CHATELET,"rue Gendebien, 55",châtelet.infoville@skynet.be,071 24 32 50,,CHATELET,6200,071 24 32 11,http://www.chatelet.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
LES BONS VILLERS,"place de Frasnes, 1",,071 85 00 83,,LES BONS VILLERS,6210,071 85 11 00,http://www.les-bons-villers.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
MELLET,"place de Frasnes, 1",,071 85 00 83,,LES BONS VILLERS,6210,071 85 11 00,http://www.les-bons-villers.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
FLEURUS,"chemin de Mons, 61",,071 82 02 17,,FLEURUS,6220,071 82 02 11,http://,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
SAINT-AMAND,"chemin de Mons, 61",,071 82 02 17,,FLEURUS,6220,071 82 02 11,http://,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
BRYE,"chemin de Mons, 61",,071 82 02 17,,FLEURUS,6220,071 82 02 11,http://,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
WAGNELEE,"chemin de Mons, 61",,071 82 02 17,,FLEURUS,6220,071 82 02 11,http://,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
WANFERCEE-BAULET,"chemin de Mons, 61",,071 82 02 17,,FLEURUS,6220,071 82 02 11,http://,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
PONT-A-CELLES,"place Communale, 22",,071 84 43 45,,PONT-A-CELLES,6230,071 84 90 53,http://www.pontacelles.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
LIBERCHIES,"place Communale, 22",,071 84 43 45,,PONT-A-CELLES,6230,071 84 90 53,http://www.pontacelles.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
FARCIENNES,"rue Grande, 2",info@farciennes.be,071 24 33 65,,FARCIENNES,6240,071 24 33 60,http://www.farciennes.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
AISEAU-PRESLES,"rue Président John Kennedy, 150",info@aiseau-presles.be,071 26 06 09,,AISEAU-PRESLES,6250,071 26 06 00,http://www.aiseau-presles.be,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
GERPINNES,"avenue Reine Astrid, 11",info@gerpinnes.be,071 50 90 69,,GERPINNES,6280,071 50 90 00,http://www.gerpinnes.be/,"Rue du Déversoir, 1",info@tibi,071 36 04 84,COUILLET,http://icdi.be/index.php?lang=fr,B-6010,0800 94 234,http://www.tibi.be,TIBI
FROIDCHAPELLE,"place Albert Ier, 38",,060 41 21 45,,FROIDCHAPELLE,6440,060 41 11 61,http://www.froidchapelle.be/ ,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
ERPION,"place Albert Ier, 38",,060 41 21 45,,FROIDCHAPELLE,6440,060 41 11 61,http://www.froidchapelle.be/ ,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
CHIMAY,"Hôtel de Ville - Grand'Place, 1",,060 21 17 06,,CHIMAY,6460,060 21 27 27,http://www.ville-de-chimay.be,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
VIRELLES,"Hôtel de Ville - Grand'Place, 1",,060 21 17 06,,CHIMAY,6460,060 21 27 27,http://www.ville-de-chimay.be,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
VAULX-LEZ-CHIMAY,"Hôtel de Ville - Grand'Place, 1",,060 21 17 06,,CHIMAY,6460,060 21 27 27,http://www.ville-de-chimay.be,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
LOMPRET,"Hôtel de Ville - Grand'Place, 1",,060 21 17 06,,CHIMAY,6460,060 21 27 27,http://www.ville-de-chimay.be,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
BAILEUX,"Hôtel de Ville - Grand'Place, 1",,060 21 17 06,,CHIMAY,6460,060 21 27 27,http://www.ville-de-chimay.be,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
SIVRY-RANCE,"Grand'Place, 2",,060 45 60 30,,SIVRY-RANCE,6470,060 45 50 61,http://www.sivry-rance.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
BEAUMONT,"Grand'Place, 11",,071 58 91 05,,BEAUMONT,6500,071 58 94 94,http://www.beaumont.be,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
STREE,"Grand'Place, 11",,071 58 91 05,,BEAUMONT,6500,071 58 94 94,http://www.beaumont.be,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
THUIN,"Grand'Rue, 36",,071 59 49 50,,THUIN,6530,071 59 41 41,http://www.thuin.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
BIESMES-SOUS-THUIN,"Grand'Rue, 36",,071 59 49 50,,THUIN,6530,071 59 41 41,http://www.thuin.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
RAGNIES,"Grand'Rue, 36",,071 59 49 50,,THUIN,6530,071 59 41 41,http://www.thuin.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
BIERCEE,"Grand'Rue, 36",,071 59 49 50,,THUIN,6530,071 59 41 41,http://www.thuin.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
GOZEE,"Grand'Rue, 36",,071 59 49 50,,THUIN,6530,071 59 41 41,http://www.thuin.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
THUILLIES,"Grand'Rue, 36",,071 59 49 50,,THUIN,6530,071 59 41 41,http://www.thuin.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
LOBBES,"rue du Pont, 1",guy.hermans@publilink.be,071 59 48 08,,LOBBES,6540,071 59 00 23,http://www.lobbes.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
SARS-LA-BUISSIERE,"rue du Pont, 1",guy.hermans@publilink.be,071 59 48 08,,LOBBES,6540,071 59 00 23,http://www.lobbes.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
BIENNE-LEZ-HAPPART,"rue du Pont, 1",guy.hermans@publilink.be,071 59 48 08,,LOBBES,6540,071 59 00 23,http://www.lobbes.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
ERQUELINNES,"rue Albert I, 49-51",,071 55 92 91,,ERQUELINNES,6560,071 55 92 60,http://www.erquelinnes.be/,Rue du Champ de Ghislage 1,hygea@hygea.be,065 41 27 58,HAVRE,http://www.hygea.be/votre-calendrier-de-collecte.html,B-7021,065 87 90 90 ,http://www.hygea.be,HYGEA
Merbes-le-Château,"rue de la Place, 15",,071 55 43 99,,Merbes-le-Château,6567,071 55 90 70,http://www.merbes-le-chateau.be,Rue du Champ de Ghislage 1,hygea@hygea.be,065 41 27 58,HAVRE,http://www.hygea.be/votre-calendrier-de-collecte.html,B-7021,065 87 90 90 ,http://www.hygea.be,HYGEA
MOMIGNIES,"Grand'Place, 1",,060 51 28 76,,MOMIGNIES,6590,060 51 11 11,http://www.momignies.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
MACON,"Grand'Place, 1",,060 51 28 76,,MOMIGNIES,6590,060 51 11 11,http://www.momignies.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
MONCEAU-IMBRECHIES,"Grand'Place, 1",,060 51 28 76,,MOMIGNIES,6590,060 51 11 11,http://www.momignies.be/,Rue 't Serstevens 28,info.sud.hainaut@ipalle.be,071 59 12 05,THUIN,http://www.ipalle.be/Accueil.aspx,B-6530,071 59 12 02,http://www.ipalle.be,Ipalle Sud-Hainaut
